datetime,PM2.5,O3,NO2,CO,SO2
2014-05-13 00:00:00,20.0,2.0,13.0,0.571,7.0
2014-05-13 01:00:00,19.0,25.0,7.0,0.538,5.0
2014-05-13 02:00:00,21.0,16.0,6.0,0.543,
2014-05-13 03:00:00,20.0,18.0,4.0,0.531,
2014-05-13 04:00:00,20.0,7.0,4.0,0.51,1.0
2014-05-13 05:00:00,19.0,16.0,5.0,0.49,3.0
2014-05-13 06:00:00,18.0,19.0,5.0,0.476,6.0
2014-05-13 07:00:00,19.0,15.0,5.0,0.494,3.0
2014-05-13 08:00:00,20.0,19.0,10.0,0.539,5.0
2014-05-13 09:00:00,20.0,,9.0,0.528,3.0
2014-05-13 10:00:00,20.0,,7.0,0.522,1.0
2014-05-13 11:00:00,19.0,49.0,4.0,0.519,3.0
2014-05-13 12:00:00,21.0,,4.0,0.511,1.0
2014-05-13 13:00:00,18.0,73.0,3.0,0.494,2.0
2014-05-13 14:00:00,18.0,65.0,2.0,0.484,2.0
2014-05-13 15:00:00,19.0,60.0,3.0,0.485,1.0
2014-05-13 17:00:00,15.0,,16.0,0.47,
2014-05-13 18:00:00,14.0,24.0,28.0,0.661,
2014-05-13 19:00:00,17.0,16.0,60.0,1.01,
2014-05-13 20:00:00,19.0,7.0,49.0,0.959,3.0
2014-05-13 21:00:00,20.0,,25.0,0.715,
2014-05-13 22:00:00,19.0,22.0,16.0,0.613,5.0
2014-05-13 23:00:00,18.0,,12.0,0.595,1.0
2014-05-14 00:00:00,17.0,30.0,9.0,0.606,1.0
2014-05-14 01:00:00,14.0,37.0,10.0,8.53,9.0
2014-05-14 02:00:00,10.0,37.0,9.0,0.506,5.0
2014-05-14 03:00:00,10.0,26.0,10.0,0.487,5.0
2014-05-14 04:00:00,10.0,25.0,9.0,0.488,3.0
2014-05-14 05:00:00,10.0,30.0,8.0,0.479,
2014-05-14 06:00:00,10.0,42.0,8.0,0.488,1.0
2014-05-14 07:00:00,10.0,42.0,11.0,0.518,4.0
2014-05-14 08:00:00,11.0,,16.0,0.575,2.0
2014-05-14 09:00:00,11.0,34.0,15.0,0.562,1.0
2014-05-14 10:00:00,11.0,47.0,12.0,0.522,1.0
2014-05-14 11:00:00,12.0,,10.0,0.507,
2014-05-14 12:00:00,12.0,,3.0,0.49,1.0
2014-05-14 13:00:00,12.0,58.0,3.0,0.456,1.0
2014-05-14 14:00:00,12.0,56.0,6.0,0.46,1.0
2014-05-14 15:00:00,12.0,52.0,,0.48,1.0
2014-05-14 16:00:00,13.0,,,0.502,1.0
2014-05-14 17:00:00,13.0,94.0,9.0,0.506,2.0
2014-05-14 18:00:00,13.0,,,0.51,2.0
2014-05-14 19:00:00,13.0,83.0,16.0,0.529,7.0
2014-05-14 20:00:00,13.0,68.0,19.0,0.512,7.0
2014-05-14 21:00:00,20.0,41.0,19.0,0.598,6.0
2014-05-14 22:00:00,21.0,41.0,,0.599,6.0
2014-05-14 23:00:00,20.0,27.0,14.0,0.619,6.0
2014-05-15 00:00:00,20.0,21.0,,0.614,5.0
2014-05-15 02:00:00,23.0,,13.0,0.515,8.0
2014-05-15 03:00:00,21.0,24.0,9.0,0.494,6.0
2014-05-15 04:00:00,20.0,24.0,10.0,0.483,7.0
2014-05-15 05:00:00,20.0,,9.0,0.503,2.0
2014-05-15 06:00:00,20.0,,12.0,0.509,2.0
2014-05-15 07:00:00,20.0,25.0,,0.543,1.0
2014-05-15 08:00:00,21.0,24.0,19.0,0.597,3.0
2014-05-15 09:00:00,21.0,29.0,,0.595,3.0
2014-05-15 10:00:00,20.0,,13.0,0.517,4.0
2014-05-15 11:00:00,20.0,76.0,8.0,0.48,3.0
2014-05-15 12:00:00,18.0,96.0,6.0,0.466,5.0
2014-05-15 13:00:00,19.0,132.0,3.0,0.531,4.0
2014-05-15 14:00:00,17.0,88.0,,0.489,4.0
2014-05-15 15:00:00,17.0,78.0,7.0,0.492,2.0
2014-05-15 17:00:00,16.0,51.0,8.0,0.504,1.0
2014-05-15 18:00:00,16.0,49.0,7.0,0.506,2.0
2014-05-15 19:00:00,17.0,46.0,10.0,0.555,2.0
2014-05-15 20:00:00,15.0,,16.0,0.468,2.0
2014-05-15 21:00:00,13.0,54.0,10.0,0.471,2.0
2014-05-15 22:00:00,14.0,,38.0,0.6,3.0
2014-05-15 23:00:00,14.0,23.0,,0.708,3.0
2014-05-16 00:00:00,20.0,2.0,62.0,0.924,7.0
2014-05-16 01:00:00,17.0,26.0,42.0,9.371,5.0
2014-05-16 02:00:00,14.0,24.0,13.0,0.619,3.0
2014-05-16 04:00:00,22.0,26.0,,0.603,5.0
2014-05-16 05:00:00,20.0,28.0,,0.568,4.0
2014-05-16 06:00:00,17.0,,,0.607,8.0
2014-05-16 07:00:00,16.0,22.0,17.0,0.64,9.0
2014-05-16 08:00:00,15.0,14.0,15.0,0.626,7.0
